,company,title,zps,link,reqs
23,Платформа Больших Данных,Системный аналитик,350 000 – 350 000 руб.,https://hh.ru/vacancy/79315007?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Партнерские отношения// Энергию и смелость действовать// Гибкость в подходах и коммуникациях// Ориентацию на результат
24,ООО Апптимизм,Product Owner (IT),160 000 – 260 000 руб.,https://hh.ru/vacancy/79259564?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
25,Luxemo Limited,Бизнес-аналитик отдела производства,от 4 000 USD,https://hh.ru/vacancy/79143443?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Формирование и развитие команды ML с нуля.// Исследование данных из множества источников с целью формулирования гипотез.// Разработка и внедрение моделей персонализации.// Оценка неуверенности моделей.// Формулирование метрик рекомендательных инструментов и их связь с продуктовыми метриками.
26,ООО Ок Софт,Product Manager (Data Science),от 150 000 руб.,https://hh.ru/vacancy/79146431?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Сильные знания SQL, умение работать с реляционными СУБД (мы используем Postgres)// Практические навыки в data-аналитике, продуктовой аналитике, бизнес-аналитике от двух лет// Умение самостоятельно принимать решения на основе данных, аргументировать их и рассказывать о своих результатах// Знание PowerBI, DAX, или глубокие знания схожих инструментов аналитики// Хорошее знание мат. статистики и теории вероятности, системное мышление и аналитический склад ума// Знание основ Python. Опыт применения Python в автоматизации и работе с данными (как плюс)// Знание английского языка (B2+)"
27,AllTime,Data Analyst,от 100 000 руб.,https://hh.ru/vacancy/79519394?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,опыт работы системным аналитиком от 1 года;// желание и умение глубоко погружаться в предметную область.
28,Компания 05.ру,Системный аналитик / Продакт-менеджер,100 000 – 200 000 руб.,https://hh.ru/vacancy/79398550?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Аналитический склад ума, коммуникативные навыки, умение вести документацию, самостоятельность и самоорганизация;// Умение составлять user case диаграммы, модели данных и диаграммы связей (mindmaps);// Опыт работы с нотациями AS IS и TO BE, сервисами Airtable, Drawio и составлением матрицы переходов."
29,АО Л.Арго,Функциональный аналитик,от 100 000 руб.,https://hh.ru/vacancy/78688361?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Подготовка отчетов для анализа тенденций рынка для потенциального применения в компании// Расчёт потребностей компании и формирование прогноза продаж на уровне SKU, основываясь на аналитике продаж за предыдущий период, используя данные о времени начала продаж// Анализ и учёт при построении прогноза продаж различных активностей отдела маркетинга/трейд маркетинга: промо активности, медиа план, приоритеты месяца/периода// Участие в формировании плана закупок. Анализ и контроль медленно продаваемых продуктов// Разработка и совершенствование инструментов планирования, формирование требований для автоматизации// Осуществление постоянного контроля за соответствием запланированных и текущих продаж для своевременной коррекции заказов для производства// Мониторинг состояния товарных остатков на складе клиентов. Регулярное осуществление информационно-статистической поддержки отдела продаж и других вовлеченных в процесс сотрудников"
30,ООО Водоходъ.Технологии,Товарный аналитик,от 170 000 руб.,https://hh.ru/vacancy/79464781?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,Сбор и анализ бизнес и функциональных требований;// Согласование и формализация требований;// Проработка интеграционных решений;// Формирование проектной документации;// Проработка функциональных сервисов и алгоритмов обработки информации// Постановка задач команде разработки// Выполнение авторской приемки// Координация процесса разработки и тестирования;
31,ООО НОВАЯ СТУДИЯ,Системный аналитик,от 120 000 руб.,https://hh.ru/vacancy/77468242?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,
32,ООО Дрожь Бьюти,Аналитик,от 70 000 руб.,https://hh.ru/vacancy/79303970?from=vacancy_search_list&query=%D0%BF%D1%80%D0%BE%D0%B4%D1%83%D0%BA%D1%82%D0%BE%D0%B2%D1%8B%D0%B9+%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"Интеграция информации из личных кабинетов и систем учета в единые формы отчетов (BI анализ)// Создание форм отчетов, нормализация данных// Формирование отчетов и шаблонов для 1С и Мой Склад в Excel// Формирование и актуализация отчетов в Power BI / Data Lens / Data Studio// Написание скриптов для автоматизации и взаимодействия между Мой Склад и СДЭК посредством API// Формировать и поддерживать БД компании"
